YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,"BAND_2A_DELIVERED ",BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202312,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,662069.82,1592.6,1,55.4,391,169,55,1,27,73,2,1292,5144,662069.82
202312,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,10720,338091.64,,,,,,,,,,,,666,338091.64
202312,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,161490.76,326.6,1,0,85,28,8,0,9,18,0,505,969,161490.76
202312,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,24,0,0,5,0,0,1,1,0,0,,158,480848.93
202312,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,43010.92,126.4,0,0,29,19,5,0,1,2,1,323,82,43010.92
202312,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,21529.17,59.6,0,0,44,0,0,0,1,3,0,396,66,21529.17
202312,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,480682.98,363.8,0,0,88,43,8,0,7,19,0,491,1792,480682.98
202312,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,121822.37,236.2,0,0,96,8,6,1,5,16,0,395,1141,121822.37
202312,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,315157.47,886,0,0,451,62,15,0,10,45,0,1816,3110,315157.47
202312,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,34466,1170342.52,1806.2,0,0,531,86,114,2,24,121,0,2678,6692,1078525.86
