lsoa11,Gender,Age,n
E01016287,Male (including trans man),13,2
E01016287,Male (including trans man),17,1
E01016287,Male (including trans man),18,1
E01016287,Male (including trans man),20,1
E01016287,Male (including trans man),25,1
E01016287,Male (including trans man),27,1
E01016287,Male (including trans man),32,1
E01016287,Male (including trans man),34,1
E01016287,Male (including trans man),37,3
E01016287,Male (including trans man),39,1
E01016287,Male (including trans man),41,1
E01016287,Male (including trans man),42,1
E01016287,Male (including trans man),52,1
E01016287,Male (including trans man),58,1
E01016287,Male (including trans man),60,2
E01016287,Male (including trans man),62,1
E01016287,Male (including trans man),65,1
E01016287,Male (including trans man),67,1
E01016287,Male (including trans man),72,1
E01016287,Male (including trans man),73,1
E01016287,Male (including trans man),75,1
E01016287,Male (including trans man),76,1
E01016287,Male (including trans man),78,1
E01016287,Male (including trans man),80,1
E01016287,Male (including trans man),82,2
E01016287,Female (including trans woman),19,2
E01016287,Female (including trans woman),31,2
E01016287,Female (including trans woman),37,1
E01016287,Female (including trans woman),38,1
E01016287,Female (including trans woman),42,1
E01016287,Female (including trans woman),50,1
E01016287,Female (including trans woman),54,1
E01016287,Female (including trans woman),64,1
E01016287,Female (including trans woman),65,1
E01016287,Female (including trans woman),70,1
E01016287,Female (including trans woman),75,1
E01017642,Male (including trans man),22,1
E01017642,Male (including trans man),28,1
E01017642,Male (including trans man),30,1
E01017642,Male (including trans man),33,1
E01017642,Male (including trans man),35,1
E01017642,Male (including trans man),51,1
E01017642,Male (including trans man),85,1
E01017642,Female (including trans woman),18,1
E01017642,Female (including trans woman),19,1
E01017642,Female (including trans woman),22,1
E01017642,Female (including trans woman),28,1
E01017642,Female (including trans woman),34,1
E01017642,Female (including trans woman),45,1
E01017642,Female (including trans woman),64,1
E01017642,Female (including trans woman),70,1
E01017642,Female (including trans woman),73,1
E01017642,Female (including trans woman),79,1
E01017642,Female (including trans woman),83,1
E01017642,Female (including trans woman),84,1
E01017642,Non-binary,45,1
E01017676,Male (including trans man),37,1
E01017676,Male (including trans man),52,1
E01017676,Male (including trans man),74,1
E01017676,Male (including trans man),88,1
E01017676,Female (including trans woman),76,1
E01017676,Female (including trans woman),78,1
E01017681,Male (including trans man),17,1
E01017681,Male (including trans man),22,1
